Date,IEAG IM,XBAG IM,XBAE IM,GAGG IM,DJCOMEX IM,CRB IM,XDBC IM,CRWE IM,CCUSAS IM,WCOA IM,CRBA IM,CMOD IM,R1JKEX IM,ICOV IM,IEAC IM,SE15 IM,XBLC IM,XB4N  IM,EUCO IM,ECOEUA IM,IEXF IM,ECRP IM,PSFE IM,LQDE IM,USCO IM,LUSC IM,JNKE IM,WING IM,CORP IM,SAFRI IM,AEJ IM,INDI IM,KOR IM,MAL IM,TWN IM,APEX IM,FXC IM,IKOR IM,ITWN IM,IFFF IM,XMKO IM,XMAS IM,XMTW IM,XNIF IM,XAXJ IM,CI2 IM,CSKR IM,CSEMAS IM,XMIN IM,XCS3 IM,XCS4 IM,AASI IM,TAI IM,EMAE IM,XCHA IM,AJEUAS IM,RQFI IM,CASH IM,CHNA IM,CNAA IM,BRA IM,LATAM IM,IBZL IM,LTAM IM,XMLA IM,XMBR IM,XMEX IM,CSMXCP IM,ALAT IM,BRZ IM,TUR IM,ITKY IM,XMRC IM,RDXS IM,EMKT IM,IEEM IM,XMEM IM,XMEA IM,XSFR IM,SEMA IM,AEEM IM,EMMV IM,EMRG IM,EMGEAS IM,EMMEUA IM,EIMI IM,MXFS IM,EMV IM,MVAM IM,HMEM IM,XMME IM,SXXPIEX IM
12/28/2005,154.25,307.5847,141.9974,144.74,355.193,294.605,235.8042,67.3877,867.4338,241.4718,622.3996,307.357,138.005,140.6097,154.34,144.4629,154.34,140.028,154.34,142.7668,140.028,154.34,154.34,143.17,1536.73,1786.09,113.9754,101.7351,149.77,3134.8601,198.0771,248.698,411.513,153.935,135.201,184.481,10852.73,411.513,135.201,181.442,411.513,218.7127,135.201,3303.13,184.481,248.698,411.513,218.7127,397.103,153.935,345.495,218.7127,2840.05,218.7127,947.26,184.481,947.26,891.5842,3888.72,891.5842,33138.4805,276.2726,259.9283,366.017,276.2726,259.9283,296.684,2971.4131,276.2726,259.9283,475.6826,213.092,2767.5637,1478.01,237.9524,237.9524,237.9524,260.7748,1912.5419,237.9524,237.9524,42.4767,237.9524,237.9524,237.9524,664.1555,237.9524,640.5515,45.0154,237.9524,237.9524,447.76
12/29/2005,154.08,306.6898,141.9493,144.31,354.951,294.639,236.5491,67.4704,866.573,241.2928,621.5052,305.304,137.8843,140.4567,154.16,144.3577,154.16,139.8806,154.16,142.5842,139.8806,154.16,154.16,143.29,1536.54,1786.62,113.9754,101.7351,149.4,3159.78,199.2736,250.271,414.788,154.929,137.032,185.663,10891.58,414.788,137.032,182.61,414.788,220.4418,137.032,3336.11,185.663,250.271,414.788,220.4418,395.764,154.929,347.726,220.4418,2861.02,220.4418,963.08,185.663,963.08,906.7209,3944.5701,906.7209,33455.9414,278.6629,261.3173,369.158,278.6629,261.3173,301.09,3015.6287,278.6629,261.3173,480.9195,216.4,2781.8184,1480.98,239.9169,239.9169,239.9169,263.035,1918.871,239.9169,239.9169,42.861,239.9169,239.9169,239.9169,670.2253,239.9169,645.5161,45.4539,239.9169,239.9169,450.3
12/30/2005,154.3,306.2398,142.0288,144.1,359.149,296.914,238.597,67.8074,871.8506,243.1557,625.1978,307.65,137.9841,140.5861,154.29,144.4249,154.29,139.9443,154.29,142.7586,139.9443,154.29,154.29,142.99,1535.25,1784.13,114.471,102.7047,149.12,3141.8799,199.0236,252.882,414.644,154.935,136.376,185.317,10808.09,414.644,136.376,182.054,414.644,220.2123,136.376,3353.37,185.317,252.882,414.644,220.2123,395.362,154.935,349.43,220.2123,2876.14,220.2123,954.86,185.317,954.86,898.7314,3904.8899,898.7314,33455.9414,279.4696,262.3243,370.204,279.4696,262.3243,301.506,3019.825,279.4696,262.3243,479.6837,214.347,2786.9551,1483.21,239.5349,239.5349,239.5349,261.4607,1920.1641,239.5349,239.5349,42.8548,239.5349,239.5349,239.5349,669.7131,239.5349,644.1417,45.5776,239.5349,239.5349,447.66
01/02/2006,154.3,306.2398,142.0288,144.1,359.149,296.914,238.6275,67.8074,871.8506,243.1557,625.1978,307.65,137.8504,140.3885,154.29,144.4249,154.29,139.9443,154.29,142.5712,139.9443,154.29,154.29,142.99,1535.25,1784.13,114.471,102.7047,149.12,3141.8799,198.7885,252.715,416.029,154.935,134.483,184.991,10808.09,416.029,134.483,181.7,416.029,219.7151,134.483,3353.37,184.991,252.715,416.029,219.7151,399.469,154.935,349.43,219.7151,2876.14,219.7151,954.86,184.991,954.86,898.7314,3904.8899,898.7314,33507.2695,281.09,264.7213,371.754,281.09,264.7213,303.672,3041.4722,281.09,264.7213,478.1675,214.483,2786.9551,1483.21,239.8259,239.8259,239.8259,262.7195,1953.134,239.8259,239.8259,42.8548,239.8259,239.8259,239.8259,670.8802,239.8259,644.918,45.5562,239.8259,239.8259,449.37
01/03/2006,154.14,308.2049,142.0746,145.03,355.251,301.106,241.7015,68.5283,883.2501,245.6656,632.012,309.006,137.95,140.506,154.27,144.446,154.27,139.9521,154.27,142.6354,139.9521,154.27,154.27,143.2,1537.22,1783.6801,114.471,102.7047,150.24,3209.5601,201.0618,257.221,419.289,153.981,138.112,187.48,10973.67,419.289,138.112,184.075,419.289,223.1018,138.112,3352.66,187.48,257.221,419.289,223.1018,409.433,153.981,358.617,223.1018,2927.63,223.1018,954.86,187.48,954.86,898.7314,3904.8899,898.7314,34540.5781,288.9187,272.2486,382.109,288.9187,272.2486,313.691,3141.8582,288.9187,272.2486,491.0107,220.4,2813.5869,1516.49,244.6263,244.6263,244.6263,268.8731,1975.4165,244.6263,244.6263,43.2806,244.6263,244.6263,244.6263,684.3568,244.6263,655.6385,46.2383,244.6263,244.6263,452.05
01/04/2006,154.67,310.9148,142.3685,146.32,352.029,303.041,243.9738,68.9957,890.4662,245.9658,635.0701,309.041,138.3714,140.9871,154.79,144.7956,154.79,140.4432,154.79,143.3085,140.4432,154.79,154.79,143.43,1538.89,1786.1801,114.471,102.7047,151.15,3263.8799,204.86,261.285,427.592,155.154,140.28,190.903,11257.77,427.592,140.28,187.488,427.592,227.4625,140.28,3408.7,190.903,261.285,427.592,227.4625,422.814,155.154,372.664,227.4625,3010.58,227.4625,973.6,190.903,973.6,916.5287,4004.9199,916.5287,35002.3711,295.7816,280.2859,391.188,295.7816,280.2859,318.791,3193.0039,295.7816,280.2859,503.2032,225.625,2834.2915,1558.98,249.3165,249.3165,249.3165,272.9153,1985.8551,249.3165,249.3165,43.8059,249.3165,249.3165,249.3165,696.4409,249.3165,668.1372,46.9794,249.3165,249.3165,456.54
01/05/2006,154.75,311.2962,142.4451,146.5,346.218,300.667,241.6228,68.6996,883.5721,242.7578,624.8241,304.04,138.4259,141.0502,154.9,144.8621,154.9,140.546,154.9,143.4006,140.546,154.9,154.9,143.44,1539.14,1786.5699,114.471,102.7047,151.25,3258.29,206.0853,261.462,428.829,157.217,143.778,192.495,11316.17,428.829,143.778,189.19,428.829,229.6191,143.778,3433.58,192.495,261.462,428.829,229.6191,424.73,157.217,373.055,229.6191,3002.5,229.6191,992.17,192.495,992.17,933.8353,4089.79,933.8353,34936.1094,296.7061,283.3361,392.23,296.7061,283.3361,316.837,3173.4851,296.7061,283.3361,510.2906,226.816,2842.5125,1590.49,250.318,250.318,250.318,271.2237,1991.6188,250.318,250.318,43.8141,250.318,250.318,250.318,700.0264,250.318,669.0737,47.5151,250.318,250.318,454.95
01/06/2006,154.85,312.4577,142.4294,147.05,347.415,303.981,243.417,69.3606,889.2127,244.2607,634.9027,306.455,138.4498,141.1054,154.97,144.8792,154.97,140.6066,154.97,143.4441,140.6066,154.97,154.97,143.23,1537.15,1782.73,114.471,102.7047,151.65,3320.5701,206.8764,264.253,432.761,158.365,142.802,193.522,11433.36,432.761,142.802,190.109,432.761,230.7119,142.802,3428.2,193.522,264.253,432.761,230.7119,430.027,158.365,379.262,230.7119,3024.71,230.7119,1003.55,193.522,1003.55,944.5784,4120.2402,944.5784,35475.0195,300.8093,289.0659,397.23,300.8093,289.0659,318.318,3188.3582,300.8093,289.0659,514.8469,228.527,2841.5256,1583.41,252.6088,252.6088,252.6088,275.1339,1997.2296,252.6088,252.6088,44.0092,252.6088,252.6088,252.6088,706.296,252.6088,673.51,47.972,252.6088,252.6088,457.93
01/09/2006,154.88,311.8393,142.4485,146.75,347.08,302.17,242.5158,69.69,888.5084,244.0697,635.1019,304.369,138.4282,141.1228,154.97,144.8337,154.97,140.5954,154.97,143.4203,140.5954,154.97,154.97,143.21,1537.9301,1783.73,114.471,102.7047,151.38,3350.6599,209.1187,264.203,436.36,158.941,145.256,195.811,11606.58,436.36,145.256,192.574,436.36,233.4804,145.256,3444.93,195.811,264.203,436.36,233.4804,443.921,158.941,389.337,233.4804,3099.59,233.4804,1009.19,195.811,1009.19,949.9414,4118.96,949.9414,35337.3281,302.8066,290.7833,399.843,302.8066,290.7833,322.655,3231.8982,302.8066,290.7833,512.343,227.416,2853.0957,1629.26,255.1454,255.1454,255.1454,277.5248,2037.1399,255.1454,255.1454,44.4124,255.1454,255.1454,255.1454,713.7139,255.1454,679.4051,48.4659,255.1454,255.1454,458.82
01/10/2006,154.66,311.4986,142.2657,146.59,346.157,301.418,242.3026,69.4883,888.8279,243.9905,633.1969,303.409,138.2703,140.9374,154.76,144.7062,154.76,140.3651,154.76,143.1066,140.3651,154.76,154.76,142.8,1533.9399,1774.9,114.471,102.7047,151.09,3307.46,207.9365,260.574,431.586,158.941,143.809,194.478,11567,431.586,143.809,191.382,431.586,231.3688,143.809,3444.93,194.478,260.574,431.586,231.3688,444.391,158.941,386.407,231.3688,3083.32,231.3688,1012.27,194.478,1012.27,952.1638,4131.27,952.1638,35049.4219,301.3264,290.0079,397.67,301.3264,290.0079,318.531,3190.5505,301.3264,290.0079,509.4839,226.147,2995.5115,1629.14,254.155,254.155,254.155,279.5626,2057.8467,254.155,254.155,44.3217,254.155,254.155,254.155,710.7225,254.155,676.019,48.3445,254.155,254.155,455.94
